feature,importance_mean,importance_std,ci_lower,ci_upper
nasa_t2m,0.3545609834718488,0.10432104926729208,0.1500917269079563,0.5590302400357412
month_cos,0.27036531585314627,0.03530084158591958,0.20117566634474388,0.33955496536154867
dust_accumulated,0.18995725636978156,0.05237224604894496,0.08730765411384943,0.2926068586257137
days_since_wash,0.1771253405677574,0.06561041607473059,0.04852892506128545,0.30572175607422936
nasa_t2m_max,0.10914572023347668,0.035109377508109954,0.04033134031758118,0.1779601001493722
aod_accumulated,0.06698225228706282,0.01401370681788054,0.03951538692401697,0.09444911765010869
pm10_accumulated,0.06472040244628845,0.017181109337393554,0.031045428144997084,0.09839537674757981
aerosol_optical_depth,0.023124224349743393,0.013129988155197893,-0.002610552434444479,0.04885900113393127
nasa_precip_mm,0.0036271463309637706,0.0030796654913874595,-0.0024089980321556495,0.009663290694083192
nasa_ws2m,0.0024708483733597796,0.006385330478280684,-0.01004439936407036,0.01498609611078992
dust,0.0005775669341494983,0.002333854710891177,-0.003996788299197209,0.005151922167496205
days_since_rain,0.0,0.0,0.0,0.0
month_sin,-0.0024462457505172396,0.0008627653304723353,-0.004137265798243017,-0.0007552257027914624
pm10,-0.02007438166425928,0.020637298150671838,-0.06052348603957608,0.020374722711057527
clearness_index,-0.10422084751476286,0.054275820760617065,-0.2106014562055723,0.0021597611760465762
