interval_days,total_cost_per_day_tl
1.0,150015.19804929374
2.0,75030.39609858747
3.0,50045.5941478812
4.0,37560.79219717494
5.0,30075.990246468675
6.0,25091.188295762408
7.0,21534.95777362757
8.0,18871.584394349877
9.0,16803.44911031028
10.0,15151.980492937346
11.0,13803.542178594716
12.0,12682.376591524815
13.0,11736.036179280089
14.0,10927.058404397998
15.0,10227.970739406019
16.0,9618.168788699753
17.0,9081.896249758194
18.0,8606.898220620556
19.0,8183.499778686221
20.0,7803.960985874693
21.0,7462.01617802557
22.0,7152.53890264398
23.0,6871.294264190679
24.0,6614.753183049631
25.0,6379.9512323433655
26.0,6164.38005086787
27.0,5965.90288648639
28.0,5782.688237367426
29.0,5613.157222621752
30.0,5455.941478812038
31.0,5309.849205525129
32.0,5173.8375773995085
33.0,5046.990172147788
34.0,4928.498381869331
35.0,4817.646010994998
36.0,4713.796441241114
37.0,4616.381877922236
38.0,4524.894294214548
39.0,4438.877768609496
40.0,4357.921971749385
41.0,4281.656606408974
42.0,4209.746641765426
43.0,4141.888212653845
44.0,4077.8050780152325
45.0,4017.2455515513916
46.0,3959.9798327291846
47.0,3905.7976785076553
48.0,3854.5063660992623
49.0,3805.9289051889155
50.0,3759.9024646867315
51.0,3716.276984568701
52.0,3674.9139478895854
53.0,3635.685291813218
54.0,3598.4724396394477
55.0,3563.165438428132
56.0,3529.662189020568
57.0,3497.8677571112953
58.0,3467.693755588333
59.0,3439.0577896862756
60.0,3411.882957624078
61.0,3386.097400360435
62.0,3361.6338949212245
63.0,3338.4294864576623
64.0,3316.425154799016
65.0,3295.5655117850583
66.0,3275.7985261137583
67.0,3257.075272829474
68.0,3239.3497049151315
69.0,3222.5784447459505
70.0,3206.7205934185668
71.0,3191.7375561931867
72.0,3177.5928824822267
73.0,3164.252118990573
74.0,3151.6826747633895
75.0,3139.8536970300975
76.0,3128.735956850148
77.0,3118.3017436695145
78.0,3108.524767988224
79.0,3099.3800714202257
80.0,3090.8439434987704
81.0,3082.893844644357
82.0,3075.5083347691666
83.0,3068.6670070426253
84.0,3062.350426387995
85.0,3056.5400723203848
86.0,3051.2182857728058
87.0,3046.3682195893953
88.0,3041.973792394102
89.0,3038.0196455693485
90.0,3034.491103102783
91.0,3031.3741340815
92.0,3028.6553176322814
93.0,3026.3218101237726
94.0,3024.3613144621186
95.0,3022.7620513258425
96.0,3021.5127321985246
97.0,3020.6025340695787
98.0,3020.021075683953
99.0,3019.7583952312434
100.0,3019.804929373463
101.0,3020.1514935186824
102.0,3020.7892632550497
103.0,3021.7097568663175
104.0,3022.9048188560937
105.0,3024.3666044135643
106.0,3026.087564758512
107.0,3028.06043330811
108.0,3030.278212612229
109.0,3032.7341620079005
110.0,3035.421785947173
111.0,3038.334822955895
112.0,3041.4672351839927
113.0,3044.8131985105974
114.0,3048.3670931699585
115.0,3052.1234948664387
116.0,3056.077166349079
117.0,3060.223049418234
118.0,3064.5562573386524
119.0,3069.072067635093
120.0,3073.7659152481556
121.0,3078.6333860294935
122.0,3083.670210556936
123.0,3088.872258251311
124.0,3094.235531777933
125.0,3099.7561617168285
126.0,3105.430401486754
127.0,3111.2546225090227
128.0,3117.2253095980327
129.0,3123.3390565661857
130.0,3129.5925620316557
131.0,3135.982625418168
132.0,3142.5061431366075
133.0,3149.160104938886
134.0,3155.9415904350676
135.0,3162.8477657652857
136.0,3169.875880418498
137.0,3177.023264190549
138.0,3184.2873242745095
139.0,3191.665542476596
140.0,3199.1554725514197
141.0,3206.7547376506254
142.0,3214.4610278793316
143.0,3222.272097955101
144.0,3230.1857649644535
145.0,3238.1999062122113
146.0,3246.312457159229
147.0,3254.5214094442968
148.0,3262.824808986239
149.0,3271.220754162433
150.0,3279.7073940601945
151.0,3288.2829267976376
152.0,3296.9455979108216
153.0,3305.693698804144
154.0,3314.5255652611067
155.0,3323.439576012739
156.0,3332.4341513610634
157.0,3341.5077518551902
158.0,3350.658877017667
159.0,3359.8860641189003
160.0,3369.1878869975408
161.0,3378.5629549248156
162.0,3388.009911510936
163.0,3397.5274336517505
164.0,3407.114230513943
165.0,3416.7690425571227
166.0,3426.4906405912743
167.0,3436.2778248680543
168.0,3446.1294242045606
169.0,3456.044295138194
170.0,3466.021321111358
171.0,3476.0594116847624
172.0,3486.15750177817
173.0,3496.314550937478
174.0,3506.529542627067
175.0,3516.8014835464173
176.0,3527.129402970022
177.0,3537.512352109674
178.0,3547.949403498247
179.0,3558.439650394141
180.0,3568.9822062055664
181.0,3579.576203933924
182.0,3590.2207956355273
183.0,3600.9151519009783
184.0,3611.6584613515197
185.0,3622.449930151717
186.0,3633.288781537867
187.0,3644.174255361531
188.0,3655.105607647642
189.0,3666.0821101666393
190.0,3677.103050020106
191.0,3688.1677292394406
192.0,3699.275464397049
193.0,3710.425586229644
194.0,3721.6174392731778
195.0,3732.8503815090216
196.0,3744.123784020967
197.0,3755.4370306626765
198.0,3766.7895177352143
199.0,3778.180653674297
200.0,3789.6098587469255
201.0,3801.076564757078
202.0,3812.5802147601376
203.0,3824.120262785765
204.0,3835.696173568923
205.0,3847.30742228877
206.0,3858.953494315159
207.0,3870.633884962488
208.0,3882.348099250649
209.0,3894.0956516728343
210.0,3905.876065969986
211.0,3917.6888749116565
212.0,3929.533620083062
213.0,3941.4098516781523
214.0,3953.317128298463
215.0,3965.255016757597
216.0,3977.223091891124
217.0,3989.220936371751
218.0,4001.248140529562
219.0,4013.3043021771996
220.0,4025.3890264398
221.0,4037.501925589562
222.0,4049.6426188847636
223.0,4061.810732413136
224.0,4074.0058989394147
225.0,4086.2277577569585
226.0,4098.475954543319
227.0,4110.750141219612
228.0,4123.049975813601
229.0,4135.375122326365
230.0,4147.725250602443
231.0,4160.100036203349
232.0,4172.499160284365
233.0,4184.922309474503
234.0,4197.369175759544
235.0,4209.839456368063
236.0,4222.332853660356
237.0,4234.849075020171
238.0,4247.3878327491775
239.0,4259.948843964083
240.0,4272.531830496311
241.0,4285.136518794196
242.0,4297.7626398275825
243.0,4310.409928994799
244.0,4323.078126031905
245.0,4335.766974924168
246.0,4348.4762238196945
247.0,4361.205624945166
248.0,4373.954934523607
249.0,4386.7239126941395
250.0,4399.512323433657
251.0,4412.31993448038
252.0,4425.146517259222
253.0,4437.991846808933
254.0,4450.855701710959
255.0,4463.737864019978
256.0,4476.638119196065
257.0,4489.556256038438
258.0,4502.492066620744
259.0,4515.445346227848
260.0,4528.415893294081
261.0,4541.403509342899
262.0,4554.407998927939
263.0,4567.429169575402
264.0,4580.46683172776
265.0,4593.5207986887335
266.0,4606.590886569502
267.0,4619.676914236135
268.0,4632.778703258195
269.0,4645.8960778584815
270.0,4659.028864863905
271.0,4672.176893657434
272.0,4685.339996131113
273.0,4698.5180066401035
274.0,4711.71076195774
275.0,4724.918101231569
276.0,4738.139865940323
277.0,4751.375899851857
278.0,4764.626048981968
279.0,4777.890161554114
280.0,4791.168087959982
281.0,4804.459680720925
282.0,4817.764794450187
283.0,4831.0832858159465
284.0,4844.415013505142
285.0,4857.759838188054
286.0,4871.117622483628
287.0,4884.488230925532
288.0,4897.871529928907
289.0,4911.267387757821
290.0,4924.675674493388
291.0,4938.09626200255
292.0,4951.529023907498
293.0,4964.973835555715
294.0,4978.430573990635
295.0,4991.899117922902
296.0,5005.379347702207
297.0,5018.8711452896905
298.0,5032.374394230907
299.0,5045.888979629329
300.0,5059.414788120389
301.0,5072.951707846018
302.0,5086.499628429712
303.0,5100.058440952089
304.0,5113.6280379269065
305.0,5127.208313277586
306.0,5140.79916231417
307.0,5154.400481710733
308.0,5168.012169483252
309.0,5181.6341249678835
310.0,5195.266248799671
311.0,5208.908442891662
312.0,5222.560610414434
313.0,5236.2226557760005
314.0,5249.8944846020995
315.0,5263.576003716884
316.0,5277.26712112394
317.0,5290.967745987695
318.0,5304.677788615159
319.0,5318.397160438024
320.0,5332.1257739950815
321.0,5345.8635429149845
322.0,5359.610381899321
323.0,5373.366206706007
324.0,5387.1309341329825
325.0,5400.904482002216
326.0,5414.686769143992
327.0,5428.477715381499
328.0,5442.277241515691
329.0,5456.085269310426
330.0,5469.901721477882
331.0,5483.726521664228
332.0,5497.55959443556
333.0,5511.400865264082
334.0,5525.250260514551
335.0,5539.107707430952
336.0,5552.973134123407
337.0,5566.846469555335
338.0,5580.727643530826
339.0,5594.616586682233
340.0,5608.513230458009
341.0,5622.417507110723
342.0,5636.329349685315
343.0,5650.248692007538
344.0,5664.17546867262
345.0,5678.109615034099
346.0,5692.051067192875
347.0,5705.999761986436
348.0,5719.955636978271
349.0,5733.918630447482
350.0,5747.888681378548
351.0,5761.865729451282
352.0,5775.849715030954
353.0,5789.840579158579
354.0,5803.838263541381
355.0,5817.842710543399
356.0,5831.85386317627
357.0,5845.871665090153
358.0,5859.896060564819
359.0,5873.926994500872
360.0,5887.964412411133
361.0,5902.008260412163
362.0,5916.058485215914
363.0,5930.115034121538
364.0,5944.177855007318
365.0,5958.246896322728
